Id,SalePrice
1461,124306.74
1462,155953.2
1463,178263.1
1464,194448.42
1465,185486.58
1466,176490.48
1467,173433.78
1468,171202.9
1469,172793.08
1470,126044.875
1471,185657.81
1472,96681.125
1473,106093.195
1474,154106.75
1475,141094.97
1476,417291.1
1477,263274.03
1478,301814.0
1479,215805.52
1480,474415.25
1481,331803.84
1482,210382.88
1483,167104.84
1484,167317.1
1485,170883.56
1486,194387.3
1487,339206.97
1488,234435.28
1489,218224.1
1490,211873.72
1491,182100.14
1492,87057.58
1493,191342.97
1494,291292.0
1495,287688.66
1496,234894.89
1497,194848.25
1498,156782.97
1499,155666.47
1500,152039.39
1501,184567.53
1502,163204.52
1503,307963.28
1504,234843.33
1505,217302.34
1506,193066.67
1507,235477.62
1508,202435.33
1509,162249.78
1510,144217.03
1511,142900.31
1512,162340.11
1513,148997.78
1514,171439.05
1515,178381.53
1516,164064.47
1517,162308.58
1518,122269.92
1519,225447.94
1520,132341.33
1521,140846.4
1522,165319.56
1523,108145.516
1524,118202.22
1525,129239.33
1526,119382.234
1527,107833.22
1528,131527.03
1529,146792.95
1530,168990.81
1531,115689.96
1532,96779.7
1533,147140.31
1534,114535.04
1535,165009.64
1536,115273.984
1537,66457.555
1538,182782.98
1539,177616.52
1540,101588.22
1541,151339.6
1542,146305.06
1543,219382.72
1544,79873.89
1545,104667.734
1546,127526.484
1547,136263.5
1548,139899.06
1549,123763.29
1550,146869.78
1551,108840.43
1552,136633.39
1553,143248.6
1554,118431.19
1555,166346.03
1556,81727.484
1557,105809.53
1558,91731.01
1559,103907.81
1560,144278.27
1561,149514.5
1562,128172.164
1563,117398.945
1564,150861.73
1565,149654.97
1566,218516.19
1567,67693.125
1568,236981.1
1569,150024.48
1570,133667.9
1571,135039.42
1572,146644.89
1573,244347.75
1574,105874.555
1575,209865.8
1576,242521.77
1577,206032.84
1578,158983.81
1579,143042.97
1580,190114.38
1581,151449.22
1582,124275.93
1583,321793.84
1584,232491.67
1585,140296.64
1586,67971.56
1587,90948.086
1588,151970.58
1589,92268.875
1590,137031.42
1591,98230.95
1592,129208.34
1593,124683.62
1594,153934.31
1595,110429.93
1596,240267.4
1597,179045.72
1598,195364.06
1599,205898.22
1600,181121.17
1601,65837.87
1602,105883.66
1603,87560.64
1604,280698.7
1605,245491.98
1606,177005.84
1607,156360.12
1608,208138.47
1609,196818.22
1610,159180.23
1611,142168.69
1612,149581.05
1613,165216.83
1614,118645.32
1615,79457.37
1616,72488.4
1617,89870.14
1618,128468.39
1619,143890.12
1620,169966.12
1621,134278.98
1622,144837.69
1623,291133.47
1624,225367.95
1625,124088.98
1626,161939.48
1627,185383.19
1628,287624.75
1629,179814.64
1630,356891.22
1631,220428.92
1632,256492.6
1633,174997.72
1634,192869.38
1635,178585.6
1636,159980.69
1637,168759.1
1638,208923.94
1639,182958.5
1640,250236.5
1641,177418.95
1642,220968.75
1643,223042.25
1644,243264.47
1645,179849.19
1646,155048.62
1647,159997.89
1648,132216.75
1649,138671.69
1650,115264.68
1651,117445.24
1652,98028.266
1653,98197.23
1654,154134.38
1655,153417.23
1656,148847.31
1657,157207.45
1658,149121.48
1659,150459.36
1660,155708.69
1661,445400.94
1662,418796.75
1663,381516.56
1664,493605.53
1665,319424.8
1666,320603.28
1667,345800.0
1668,336951.8
1669,299098.34
1670,336103.62
1671,269516.4
1672,497763.94
1673,315707.16
1674,250368.03
1675,191760.69
1676,192523.62
1677,226219.5
1678,496178.28
1679,390534.62
1680,325088.66
1681,269987.6
1682,303937.38
1683,182945.5
1684,167896.84
1685,175461.7
1686,168936.06
1687,166713.7
1688,177794.48
1689,183926.33
1690,188554.16
1691,177535.73
1692,267812.12
1693,167413.92
1694,187225.64
1695,168617.06
1696,270075.16
1697,175511.1
1698,362865.97
1699,348647.44
1700,257581.0
1701,252442.11
1702,250735.9
1703,248133.55
1704,286898.22
1705,245412.58
1706,469570.5
1707,218907.48
1708,219865.84
1709,263291.5
1710,229351.92
1711,261668.78
1712,232603.53
1713,250861.17
1714,224571.81
1715,210727.05
1716,176700.55
1717,157679.86
1718,130599.92
1719,199747.84
1720,262774.7
1721,164262.9
1722,119090.27
1723,152388.02
1724,204697.06
1725,225292.81
1726,197535.83
1727,161810.56
1728,178528.94
1729,163059.8
1730,165490.31
1731,122801.695
1732,129370.7
1733,117542.92
1734,112899.96
1735,132496.11
1736,117322.48
1737,337376.94
1738,223098.47
1739,266464.72
1740,223081.88
1741,190365.56
1742,183656.3
1743,171660.6
1744,293069.62
1745,235759.0
1746,254877.52
1747,220209.89
1748,203174.66
1749,152136.02
1750,135565.66
1751,228011.17
1752,125073.57
1753,133919.95
1754,211140.66
1755,160840.2
1756,127100.4
1757,122785.84
1758,142013.3
1759,158614.31
1760,156960.14
1761,146547.56
1762,172496.22
1763,170992.1
1764,114866.04
1765,165874.5
1766,171674.94
1767,221259.55
1768,142489.56
1769,161844.5
1770,146412.27
1771,127750.43
1772,133086.1
1773,135530.3
1774,118976.97
1775,138594.69
1776,124105.05
1777,119879.734
1778,135821.84
1779,115072.35
1780,181065.98
1781,128943.05
1782,91837.07
1783,139889.2
1784,96998.45
1785,112764.97
1786,132653.16
1787,179615.56
1788,55652.78
1789,94201.27
1790,86702.09
1791,178244.77
1792,161421.44
1793,135867.56
1794,146246.4
1795,140286.92
1796,123116.99
1797,120624.35
1798,130855.78
1799,115895.71
1800,125229.27
1801,139116.03
1802,152580.25
1803,152605.23
1804,141607.95
1805,138622.08
1806,113989.98
1807,135476.81
1808,117166.336
1809,123036.266
1810,143378.72
1811,107550.42
1812,101688.77
1813,123758.266
1814,94868.06
1815,48275.87
1816,97401.69
1817,117946.45
1818,130584.56
1819,116295.016
1820,69542.23
1821,114835.07
1822,153034.12
1823,45827.65
1824,130465.47
1825,140485.4
1826,105676.79
1827,110038.68
1828,136685.78
1829,105721.33
1830,149937.73
1831,152794.6
1832,94202.71
1833,137108.42
1834,118595.56
1835,151297.2
1836,128787.68
1837,97490.086
1838,131411.27
1839,79752.14
1840,174856.62
1841,146208.75
1842,83649.78
1843,136161.92
1844,144562.34
1845,136123.83
1846,153032.44
1847,147740.52
1848,49939.293
1849,105520.48
1850,120679.83
